uid,name,address,postcode,state
b87da1c56f1fbb9ff6c8c6bf4774fed0,Oyster Reach Beefeater,"Bourne Hill, Wherstead, IPSWICH, Suffolk",IP2 8ND,Babergh
05b1dd9677f7815e6f38b89af06e121c,Plough And Fleece Inn,"Great Green, Cockfield, BURY ST EDMUNDS, Suffolk",IP30 0HJ,Babergh
eaa541fcf342ab812f979b2b025b2c0a,Prince Of Wales,"New Street, SUDBURY, Suffolk",CO10 1JB,Babergh
0b0c41b800ae70958f36177838bb3ff1,Queens Head,"The Row, Wenham Magna, COLCHESTER, Essex",CO7 6PU,Babergh
da8b264f0629ef820cffb67ab4d00de3,Queens Head,"The Street, Layham, IPSWICH, Suffolk",IP7 5LZ,Babergh
492ffd01f2d8a9d900b38cd682893356,Red Lion Inn,"Main Road, Chelmondiston, IPSWICH, Suffolk",IP9 1DX,Babergh
de6ae08385e6ab97bc7982a0ee425c82,Rose and Crown,"The Street, Elmsett, IPSWICH, Suffolk",IP7 6PA,Babergh
0deca33157073c6ef0753463062e017e,Royal Harwich Yacht Club,"Cat House Lane, Woolverstone, IPSWICH, Suffolk",IP9 1AT,Babergh
d7b82e7326eb7ff0494772e6ac9ee02c,Royal Oak,"East End Lane, East Bergholt, COLCHESTER, Essex",CO7 6XA,Babergh
126d99e88257445b088146b007050b32,Shipwreck Bar and Restaurant,"Shotley Marina, Shotley, IPSWICH, Suffolk",IP9 1QJ,Babergh
ce08e1b063c54e0038d76c042d122655,Shoulder of Mutton,"The Street, Assington, SUDBURY, Suffolk",CO10 5LJ,Babergh
4d0a10384fe2c3ddae734d53e6d672ca,Sudbury Institute Club,"54 Station Road, SUDBURY, Suffolk",CO10 2SP,Babergh
de779372d8ddd1bbd1d54379a8072c7a,Swan Inn,"Lower Street, Stratford St Mary, COLCHESTER, Essex",CO7 6JR,Babergh
e79426dcdb9a0bdb9e957fcedbf4dfbf,The Anchor Inn,"26 Court Street, Nayland with Wissington, COLCHESTER, Essex",CO6 4JL,Babergh
f15f04c98946ca36fad8883c8da43053,The Angel Hotel,"The Angel, Market Place, Lavenham, SUDBURY",CO10 9QZ,Babergh
77f1d4a744ffbff66e816b71de17643c,The Angel Inn,"Polstead Street, Stoke by Nayland, COLCHESTER, Essex",CO6 4SA,Babergh
a0fc2fbb33527cbdceae0978e770b601,The Bay Horse,"61-65 Melford Road, SUDBURY, Suffolk",CO10 1JS,Babergh
1d56aceb8d2bbcde14df0a3f7e86af56,The Beagle,"Hadleigh Road, Sproughton, IPSWICH, Suffolk",IP8 3AR,Babergh
5be2a3f2d162194df73a309e4ca21e42,The Bell Inn Kersey Ltd,"The Bell Inn, The Street, Kersey, IPSWICH",IP7 6DY,Babergh
4f69411b94288224ada34d856b1b84fd,The Brewers Arms,"Bower House Tye, Polstead, COLCHESTER, Essex",CO6 5BZ,Babergh
fcac056d405c27b1e07eab8fd62d0bfc,The Brewery Tap,"East Street, SUDBURY, Suffolk",CO10 2TP,Babergh
5a92784037326bf9e1099a8717832b89,The Brook,"The Brook Inn, 241 Bures Road, Great Cornard, SUDBURY",CO10 0JQ,Babergh
68f3b4161d2fb7136137cca2b5763a3c,The Brook Inn,"The Street, Copdock And Washbrook, IPSWICH, Suffolk",IP8 3HR,Babergh
577a35301b9e12528e04c147b37dfd9c,The Bush Inn,"The Bush, The Street, Shimpling, BURY ST EDMUNDS",IP29 4HU,Babergh
4eb07fbdd90009edb15149a7dcf1f0af,The Case Is Altered,"Capel Road, Bentley, IPSWICH, Suffolk",IP9 2DW,Babergh
c234240e96d0fda6d1fd44573c83afdf,The Cock,"Lavenham Road, Brent Eleigh, SUDBURY, Suffolk",CO10 9PB,Babergh
186d40c6852da91166c7eb7856603c51,The Cock Horse Inn,"The Cock Inn, Church Street, Lavenham, SUDBURY",CO10 9SA,Babergh
3589e80e8f7f3f3a5b65447389b90c2e,The Cock Inn,"89 George Street, Hadleigh, IPSWICH, Suffolk",IP7 5BP,Babergh
2d2b9382f23fcb2e47875c3cada8de87,The Cock Inn,"Egremont Street, Glemsford, SUDBURY, Suffolk",CO10 7SA,Babergh
1634edb6c20a197c38f7ec8991ceb6d3,The Cock Inn,"Polstead Green, Polstead, COLCHESTER, Essex",CO6 5AL,Babergh
d5be97e54159b52cacf95b651db26e45,The Comfortable Cow,"Unit 3, The Pied Cow, 12 King Street, SUDBURY, Suffolk",CO10 2EB,Babergh
c732845469e92c0d07ce1ca3b403a87c,The Crown,"High Street, Acton, SUDBURY, Suffolk",CO10 0AT,Babergh
047b28e655055eac0d99385643e0d129,The Crown,"Park Street, Stoke by Nayland, COLCHESTER, Essex",CO6 4SE,Babergh
21ee0f415421bb02cc1404ec80a8871c,The Crown Inn,"The Green, Hartest, BURY ST EDMUNDS, Suffolk",IP29 4DH,Babergh
9524e2b22f2726329af954c6e763ad68,The Delphi Club,"Delphi Diesel Systems Ltd, Newton Road, SUDBURY, Suffolk",CO10 2RR,Babergh
e6f14ea82f3bce220d48acaef44ac97d,The Fleece PH,"The Fleece, 8-10 Broad Street, Boxford, SUDBURY",CO10 5DX,Babergh
7d21d0e9eecfc0fa5c06fc5e7b0ac8ad,The George,"52 High Street, Hadleigh, IPSWICH, Suffolk",IP7 5AL,Babergh
6853a613f0eed81030ad7d110d277dae,The George & Dragon,"The George and Dragon Public House, Hall Street, Long Melford, SUDBURY",CO10 9JA,Babergh
2ad4d2bf4225eb25667894fc10b02783,The George Inn,"George Street, Hintlesham, IPSWICH, Suffolk",IP8 3NH,Babergh
04b2c825e235cfaea2bfdd778504464a,The Greyhound,"High Street, Lavenham, SUDBURY, Suffolk",CO10 9PZ,Babergh
5ae20d628f22dec948ea0ea2256e9c9c,The Harkstead Bakers Arms Ltd,"The Bakers Arms, The Street, Harkstead, IPSWICH",IP9 1BT,Babergh
b10eda0d97c9f3f4ef1af8116b98a0c6,The Horseshoes Inn,"Three Horseshoes, Stows Hill, Cockfield, BURY ST EDMUNDS",IP30 0JB,Babergh
0ada5238c3b01b5e948afdd8728c6e29,The Kings Head,"90 High Street, Hadleigh, IPSWICH, Suffolk",IP7 5EF,Babergh
bc784846bd59a16832454416ac708003,The Kings Head,"Kings Head, Manningtree Road, Stutton, IPSWICH",IP9 2SW,Babergh
7d8879e73757712cbb6b77897b2d9c12,The Lion,"Honey Tye, Leavenheath, COLCHESTER, Essex",CO6 4NX,Babergh
bd1f3c92a72618331bd2a5fab4d80160,The Long Melford Inn,"Station Road, Long Melford, SUDBURY, Suffolk",CO10 9HN,Babergh
7185d39c4f5d905a5e325e3f5127de05,The Peacock Inn,"37 The Street, Chelsworth, IPSWICH, Suffolk",IP7 7HU,Babergh
2861d2affb3441937f5c7ab3012c35a6,The Red Lion,"High Street, Bildeston, IPSWICH, Suffolk",IP7 7EX,Babergh
7e2cf2b2de0568010410d79665c0a2e1,The Red Lion,"The Street, East Bergholt, COLCHESTER, Essex",CO7 6TB,Babergh
ba993be64bf430ca2616a17064b9778a,The Rose Inn,"The Street, Shotley, IPSWICH, Suffolk",IP9 1NL,Babergh
a435f1436dae9a4cd3d94892c22718e5,The Royal British Legion,"Cordell Road, Long Melford, SUDBURY, Suffolk",CO10 9EB,Babergh
4df0882fcaa458ca302c4233719f5186,The Royal British Legion,"George Street, Hadleigh, IPSWICH, Suffolk",IP7 5BB,Babergh
df69b2af6c33deb82d7ee93dcc16366b,The Saracens Head,"Sudbury Road, Newton, SUDBURY, Suffolk",CO10 0QJ,Babergh
03d866866fffc6dd70fc8a9bf6f8b67b,The Silkworm Public House,"East Street, SUDBURY, Suffolk",CO10 2HX,Babergh
70a5185fb972e732e305b06c1821da3a,The Six Bells,"The Street, Preston St Mary, SUDBURY, Suffolk",CO10 9NG,Babergh
7a7f1fad4a16c224262c751c30632e1c,The Swan,"Hall Street, Long Melford, SUDBURY, Suffolk",CO10 9JQ,Babergh
a73aef3ec8ebadf5d60303e2a228f6cc,The Swan,"Swan Inn, The Street, Holbrook, IPSWICH",IP9 2PZ,Babergh
50e96d562acd1d5530645ee1d3caa595,The Swan,"The Street, Lawshall, BURY ST EDMUNDS, Suffolk",IP29 4QA,Babergh
5e1582d64076e0e2e6e19aba907bc469,The Swan Inn,"The Swan, The Street, Little Waldingfield, SUDBURY",CO10 0SQ,Babergh
99e8ee7d86cab86a8d59dc324303edd0,The White Horse,"Lavenham Road, The Heath, Great Waldingfield, SUDBURY, Suffolk",CO10 0SE,Babergh
ba6d2d1385666b6323d5b61e2799d07c,The White Horse,"London Road, Capel St Mary, IPSWICH, Suffolk",IP9 2JR,Babergh
66476da76ebde0da16832c5fb976047e,The White Horse Inn,"White Horse Inn, Mill Green, Edwardstone, SUDBURY",CO10 5PX,Babergh
aacc706c7a0c599f1713253cf2486d59,The Wild Man Sproughton Ltd,"Wild Man Inn, Bramford Road, Sproughton, IPSWICH",IP8 3DA,Babergh
31d54525403916ae1ab2948e7354fbe8,Three Horseshoes,"Church Square, Bures St Mary, BURES, Suffolk",CO8 5BS,Babergh
c1405748c41a6352ffe8d64d567a7b8c,United Services Club,"White Horse Road, East Bergholt, COLCHESTER, Essex",CO7 6TU,Babergh
064a2d144f3e99e4be60f00528bd0b45,Waggon And Horses,"Church Walk, SUDBURY, Suffolk",CO10 1HJ,Babergh
c7385d910bf7da794560aca0065a8501,Wheatsheaf Inn,"Church Road, Tattingstone, IPSWICH, Suffolk",IP9 2LY,Babergh
1f330ed6e8668198329bf0a5cf5e7b64,Wheelhouse,"Whatfield Road, Nedging with Naughton, IPSWICH, Suffolk",IP7 7BS,Babergh
cdeb3a337cd4f7f00e4f722e990abcc4,White Horse,"North Street, SUDBURY, Suffolk",CO10 1RF,Babergh
e5d0e7cdaff4bc368b18519e96d32bbe,Bar Zero,"Vitro Bars Ltd, 2 Western Road, Billericay, Essex",CM12 9DZ,Basildon
c47b975aeac23f9ca239f5de8b957a7b,Barleylands Social Club,"Barleylands Road, Basildon, Essex",SS15 4BJ,Basildon
42b19d1a25a948d23c474e9c2db0e93e,Basildon & Pitsea Cricket Club,"The Clubhouse,Mopsies Park, Timberlog Close, Basildon, Essex",SS14 1PF,Basildon
f1db407b3865f586c734548639eae820,Basildon Rugby Football Club,"Gardiners Close, Basildon, Essex",SS14 3AW,Basildon
8abaec95d022e35d99e934de38b6d3de,Basildon Snooker Centre,"5 High Pavement, Basildon, Essex",SS14 1EA,Basildon
7da39afbee763531b9ada119a8efdf43,Basildon Sports & Leisure Club,"Gardiners Way, Basildon, Essex",SS14 3AP,Basildon
35ab10bf842f29f6df8fa48b83b189a5,Basildon United Football Club,"Gardiners Close, Basildon, Essex",SS14 3AW,Basildon
05509241bc28bf59945c840c695d8e58,Beehive,"Southernhay, Basildon, Essex",SS14 1DQ,Basildon
e31be39c5ee1ea90c9aafe36c3b0d494,Benbow Club,"77 Pound Lane, Bowers Gifford, Pitsea,Essex.",SS13 2HL,Basildon
24f5c8d854f12b802659a71abaa8df9f,Best Parties Ever,"Barleylands Farm, Barleylands Road, Billericay, Essex",CM11 2UD,Basildon
34885a1f2e18fcb38ee33d81ab10da09,Billericay Constitutional Club,"1a High Street, Billericay, Essex",CM12 9BE,Basildon
dcbfddebeb35e5a56c002ba0f55a5b4d,Billericay Cricket Club,"The Toby Howe Cricket Ground, Blunts Wall Road, Billericay, Essex.",CM12 9SA,Basildon
62c9e850334afe6234666d315aa80f8b,Bluehouse Farm Community Ctr.,"Laindon Link, Laindon, Basildon,Essex.",SS15 5UH,Basildon
3f83221dcff19fe47aac3c0f762cf30d,Bowers United Sports & Social,"Bowers United Sports And Social Club, Crown Avenue, Pitsea, Basildon",SS13 2BE,Basildon
7bd5acd67b83890fab9ccc12684762e7,British Rail Social Association,"Market Avenue, Wickford, Essex",SS12 0AD,Basildon
5dc2abf69552dca14a4ef5552f248049,Bromfords Sports Centre,"Bromford Sports Centre, Grange Avenue, Wickford, Essex.",SS12 0LZ,Basildon
eac973d171ddd206513dbaec3ef33b86,Castle Mayne,"Castle Mayne, The Knares, Basildon, Essex",SS16 5RZ,Basildon
d34f321a002b990e04962ab480873bbc,Chequers,"44 High Street, Billericay, Essex",CM12 9BQ,Basildon
47bfd78809633309c4271cc72117e515,Chicago Rock Cafe,"Festival Leisure Park, Cranes Farm Road, Basildon, Essex",SS14 3TJ,Basildon
e37e22c720600340c0321fab3608ab5a,Club Kingswood,"Club Kingswood, Clay Hill Lane, Basildon, Essex",SS16 5JP,Basildon
72c498c85a7b0a4b11b8a8aa9d2bfb92,Coast to Coast,"Luminar Unit 1, Festival Way, Basildon, Essex",SS14 3WB,Basildon
224171d8ea70aa25afc9de377bcb363c,Cromwell Manor/Grand Events,"Cromwell Manor, Pitsea Hall Lane, Pitsea, Essex",SS16 4UH,Basildon
f5fccf46fe70611b70b17efd5ce2bec0,Culpepper Club,"Gardiners Lane South, Basildon, Essex",SS14 3AP,Basildon
419caea54307bf725aa80fd36d0652be,David Lloyd Club,"Festival Way, Basildon, Essex",SS14 3DG,Basildon
715f4196355b96de5396045323a27ec9,Dick Turpin,"Dick Turpin, Southend Arterial Road, Wickford, Essex",SS12 9HZ,Basildon
a44559339a0c1ca0ba4cce93238ddaec,Downham Arms,"130 London Road, Wickford, Essex",SS12 0AR,Basildon
e934f1c956ee4964535ba37dc4987f24,Dunton Park Country Club,"Lower Dunton Road, Dunton, Basildon,Essex.",CM13 3SX,Basildon
728cfd8787ac5b173f5a99343300d9f8,Ford Sports & Social Club,"Gardiners Close, Basildon, Essex",SS14 3AW,Basildon
11c0099e325b67f908e75803bb6b9135,Fryerns Community Centre,"Whitmore Way, Basildon, Essex",SS14 2NN,Basildon
751a5b771e9ad2582b2379b35d0e169e,Fryerns Social Club,"Fryerns Social Club, Fryerns Community Centre, Whitmore Way, Basildon, Essex",SS14 2NN,Basildon
54499573661284596bb48db803d9739b,Ghyllgrove Community Centre,"The Barnett Centre, Butneys, Basildon, Essex",SS14 2DG,Basildon
ca8634ba6a0469ea5d015238356f2ecd,Great Chalvedon Hall,"Great Chalvedon Hall, Rectory Road, Pitsea, Basildon",SS13 2AN,Basildon
2f1e410832e4e010fa18923c3d4ec588,Harvester Darby Digger,"Darby Digger, Radwinter Avenue, Wickford, Essex",SS12 9PT,Basildon
2a78921e36fdaae212589387895de447,Harvester Langdon Hills,"High Road, Langdon Hills, Basildon,Essex.",SS16 6HU,Basildon
4a52c63655ffff4c3cbe098f5a68eae8,Holy Cross Recreation Ground,"Holy Cross Recreation Ground Pavilion, Church Road, Basildon, Essex",SS14 2EX,Basildon
eba9b3dfec3da0ce099ba297664ae739,Inn on the Green,"Mountnessing Road, Billericay, Essex",CM12 0EH,Basildon
e68f71e30e9b2c90c9af773fac3daef6,J D Wetherspoon,"39 High Street, Billericay, Essex",CM12 9BA,Basildon
f63ebbb3003f69fe75fa448529f7eb27,Jolly Friar Public House,"Whitmore Way, Basildon, Essex",SS14 3JT,Basildon
5e209df429b1ae1580e625e92a2643c2,Katz,"Southernhay, Basildon, Essex",SS14 1DJ,Basildon
8b33fa80ab0e38a514113a4d5373a898,Kings Head,"Southend Road, Billericay, Essex",CM11 2PS,Basildon
8b62c56a3179ebc2e38db632fd20738b,Moon on the Square,"1-15 Market Square, Basildon, Essex",SS14 1DF,Basildon
87501d7aeffcb3e8233f0c55342dbc7e,Owl & Pussycat,"164 Clay Hill Road, Basildon, Essex",SS16 5DF,Basildon
e3c16c208d274fd024daefa8f4811c2e,Post Office Sports Club,"Gardiners Way, Basildon, Essex",SS14 3AP,Basildon
65ab002c4dccf26a848d87cef44f6490,Q Ball Snooker and Sports Bar,"Time Square, Basildon, Essex",SS14 1DJ,Basildon
1e8157fa6a1dfdb4d4e0e7fdc6fcc6be,Red Lion,"113 High Street, Billericay, Essex",CM12 9AJ,Basildon
812178e61f4b5fc9162c684623d500ad,"Reids Bar, Restaurant and Function Room","66-68 Laindon Road, Billericay, Essex",CM12 9LD,Basildon
088063128a65b969bec2581ebf43d515,Royal British Legion Club,"73-77 Runwell Road, Wickford, Essex",SS11 7HL,Basildon
b5a4ad99802e18742a2df04fa48b627e,Social Club,"S Wernick & Sons Ltd, Russell Gardens, Shotgate, Wickford",SS11 8BL,Basildon
f9999d9cdd8a9ea8d6e942f703c21173,South Essex Medical Club,"Nether Mayne, Basildon, Essex",SS16 5NL,Basildon
990384af5d57431a3b2f7c5f235ffe2b,Sportz Club Bar,"Wickford Community Centre, Market Road, Wickford, Essex",SS12 0AG,Basildon
f126aca35b97a8184f97d035ca2bbe2b,Stock Brook Manor Golf Club,"Queens Park Avenue, Billericay, Essex",CM12 0SP,Basildon
53d1571c237d66ea8308f26b65da0120,The Burstead Golf Club,"Tye Common Road, Little Burstead, Billericay,Essex.",CM12 9SS,Basildon
073dbba7be299e1aa78efb5bf4b83636,The Cafe,"Bowers United Sports And Social Club, Crown Avenue, Pitsea, Basildon",SS13 2BE,Basildon
209ef6e2c3f91171704ba80f6515b5c8,The Coach and Horses,"The Coach and Horses, 36 Chapel Street, Billericay, Essex",CM12 9LU,Basildon
59329b06d3025bcc5de0f98ed362b10b,The Crane,"The Crane, Denys Drive, Basildon, Essex",SS14 3LP,Basildon
ce50c8caea92971ce0d7176b2f671c47,The Crown Pub and Dining,"2 High Street, Billericay, Essex",CM12 9BQ,Basildon
d3ec86fb8dc6587e6f33f8bf7d4fcdb7,The Duke Public House,"80 High Street, Wickford, Essex",SS12 9AT,Basildon
4d7dfd3cb6bfcfd5551ff9812b27c282,The Dukes Head,"The Dukes Head, Laindon Common Road, Little Burstead, Billericay",CM12 9TA,Basildon
213f6da359620a03fd1e1bd17646b17c,The Edge,"The Edge, 6-8 High Pavement, Basildon, Essex",SS14 1EA,Basildon
5a7669eeb17661207cb227c4f9352ae8,The Forge,"The Forge, 1-2 The Pantiles, Billericay, Essex",CM12 0UA,Basildon
560a97fb6b74cf88d9cdeba75a86b94a,The Four Seasons Public House,"Victoria Road, Laindon, Basildon,Essex.",SS15 6AW,Basildon
b6efe5d03034c4d6d2097f9ff51198da,The Honey Pot,"Festival Leisure Park, Cranes Farm Road, Basildon, Essex.",SS14 3TJ,Basildon
96ba95f71d758a7384db8a6cb79ed676,The Joker,"25 Laindon Centre, Basildon, Essex",SS15 5TQ,Basildon
6f43037e9df0a713d7c1c3adbc6c60ab,The Mall Social Club,"Burnt Mills Road, Pitsea, Essex.",SS13 1DT,Basildon
23967fccffe7573023880d432be7c897,The Noak Bridge,"Noak Bridge Public House, 45 Wash Road, Laindon, Basildon",SS15 4BS,Basildon
ffb5009c96e81b6a3148345f7b54e2df,The Plough and Tractor,"186 Great Knightleys, Basildon, Essex",SS15 5HG,Basildon
6605ae3dabb3a03262436c08fe5a586c,The Quays,"Festival Leisure Park, Cranes Farm Road, Basildon, Essex.",SS14 3WB,Basildon
fb78056802d574a6502ee3c42a4c45ed,The Railway Hotel,"1 High Street, Billericay, Essex",CM12 9BE,Basildon
64ea8e02c14582beaa83331923d523bb,The Rare Cow,"The New Mayflower, Jacksons Lane, Billericay, Essex",CM11 2DG,Basildon
8077a1a87c61dc132ed99e6d2f179104,The Swan,"The Swan, The Broadway, Wickford, Essex",SS11 7AD,Basildon
16883336eee0606dcaf1a7619365e039,The Watermill,"East Mayne, Basildon, Essex",SS13 1BW,Basildon
a0a442f87225bf042423e6d3557d304b,The Woodlands Club,"35 Kingswood Road, Basildon, Essex",SS16 5UP,Basildon
4c50556e304e739b8a11d88711576918,Unit 7,"Unit 7, Festival Way, Basildon, Essex",SS14 3WB,Basildon
72679db2ef8e88d35b785175508559be,Vange & Pitsea Social Club,"Vange And Pitsea Working Mens Club, High Road, Vange, Basildon",SS16 4TG,Basildon
bb67fde2fc3c0850232b8d4f1382cbf4,Wick Bar,"Wick Community Centre, Salcott Crescent, Wickford, Essex",SS12 9NR,Basildon
a0a409c1ad5a2d8048f332005273b1da,Wickford Cricket Club,"Runwell Road, Wickford, Essex",SS11 7HG,Basildon
e301c2f56a510ffe61a160d387a6dca6,Winged Horse,"Luncies Road, Basildon, Essex",SS14 1SB,Basildon
9d25b5d79f5fdb2d54cfa83a1b132cf7,Winston Social Club,"1 Northumberland Avenue, Laindon, Basildon",SS15 6NL,Basildon
bc9913a181b84be8b833d1a1e916f5ae,Addison Howard Centre,"Addison Howard Park, Bedford Road, Kempston, Bedford",MK42 8PN,Bedford
eb106116d1f5814dda26971346cd27ae,AFC Kempston Rovers Football Club,"Kempston Rovers Football Club, Hillgrounds Road, Kempston, Bedford",MK42 8QG,Bedford
dfa93f6a10b55616451c31a52ce6b071,Angel Domino Team,"30 The Broadway, Bedford",MK40 2TH,Bedford
675e0e2ee4298b6524d520f3f457cd04,Auction Room Ltd,"1 Duke Street, Bedford",MK40 3HR,Bedford
cc3fd5ff7ba50180cbfc80157c15a8fb,Badlands,"Palace Chambers, Silver Street, Bedford",MK40 1SY,Bedford
48ebc674f174a1ba608f6e5bfe6996b2,Bar Citrus,"29 Harpur Street, Bedford",MK40 1LA,Bedford
7c270ffdbda2ff4ca6f470c50796905b,Barley Mow,"72 St Loyes Street, Bedford",MK40 1EZ,Bedford
36944cc33ae5699192aa8b7c10ed4ea6,Bedford & County Golf Club,"Bedford And County Golf Club, Green Lane, Clapham, Bedford",MK41 6ET,Bedford
0ecdf542f0735c369c1458734633c1b9,Bedford & County Golf Club Bar,"Bedford And County Golf Club, Green Lane, Clapham, Bedford",MK41 6ET,Bedford
fdda8d0b14572d0050a5e28b1f1546ef,Bedford Arms,"Bedford Arms, High Street, Souldrop, Bedford",MK44 1EY,Bedford
a24b36119c80bce586a6d9c3ee499caa,Bedford Athletic Rugby Club Bar,"Bedford Athletic Rugby Club, Wentworth Drive, Bedford",MK41 8QA,Bedford
a1c7d84902025087b9403df318668219,Bedford Borough Bowling Club Bar,"Bedford Borough Bowling Club, Goldington Road, Bedford",MK40 3NF,Bedford
834615f5a7ca502474fbf7f901b92149,Bedford Rowing Club,"Bedford Rowing Club, Duckmill Lane, Bedford",MK42 0AX,Bedford
e8e6d2938366cc2f86f9ae7f69619c0a,"Bedford Rugby (Ground, Bar & Marquee)","Bedford Rugby Union F C, Goldington Road, Bedford",MK40 3NF,Bedford
7b697cdd36c43247830a19052d061be9,Bedford Standard,"The Standard, 26-28 High Street, Bedford",MK40 1SP,Bedford
1381d9474009d72ffe5038596fdc4db6,Bedford Town Football Club,"Bedford Town Football Club, Meadow Lane, Bedford",MK44 3LW,Bedford
01445f5d6231aaccbf1e0f8ddc6dc201,Bedfordshire Golf Club,"Bedfordshire Golf Club, Spring Lane, Stagsden, Bedford",MK43 8SR,Bedford
c84a0967ebe17f4284908962cf35449a,Biddenham Pavilion,"Pavillion, Deep Spinney, Biddenham, Bedford",MK40 4QP,Bedford
9051a1ebda156fc09ef7dcade4dffe8e,Brewhouse And Kitchen,"115-117 High Street, Bedford",MK40 1NU,Bedford
788d1cf8c9616316b2a8a14226b6d748,Briar Bank Club,"Briar Bank Club, Hawthorn Drive, Wilstead, Bedford",MK45 3ES,Bedford
9f66e42ff2c35580f8d7c14f07be9fa3,Burnaby Arms,"Burnaby Arms, 66 Stanley Street, Bedford",MK41 7RU,Bedford
ea2583397597f5212cf886ce2b95ba0e,Chequers Inn,"The Chequers Inn, 47 Hall End Road, Wootton, Bedfordshire",MK43 9HP,Bedford
f205e8c717f0ac6bf0aeae7e28b53803,Club Italia,"32a Alexandra Road, Bedford",MK40 1JA,Bedford
0d08b436ac222f216f18a5909eac2273,Colmworth Golf Club,"Colmworth Golf Club, New Road, Colmworth, Bedford",MK44 2AP,Bedford
6c1810599543bc56469365505444bdee,Colworth Club,"Unilever Sports & Social Club,, Colworth Estate, Sharnbrook, Bedford",MK44 1LQ,Bedford
2ec6f290eafa23ba4c5ed0d71a25a512,Cross Keys,"The Cross Keys, 69 High Street, Bedford",MK40 1RZ,Bedford
