pid,registration_timestamp,product_name,retail_price,discounted_price,stock
AVCEGBRYHDSGSHGX,2016-03-03 22:49:41 +0000,"Pulse Audio 1 FM/USB Player, 1 Speaker Set Combo",4290,2050,154
AVCEGCNWNBG9QNDC,2016-03-03 22:49:41 +0000,"K&N 1 Bike Spark Plug, 1 Air Filter-TVS Apache RTR 180 REF Combo",2999,2999,197
AVCEGCNNFZN5HVGB,2016-03-03 22:49:41 +0000,"K&N 1 Bike Spark Plug, 1 Air Filter-TVS Sport Combo",2965,2965,189
AVCEGCNNRVZUXF4H,2016-03-03 22:49:41 +0000,"K&N 1 Bike Spark Plug, 1 Air Filter-Honda CB Trigger Combo",2999,2999,192
AVCEGCNVZJHWXBMT,2016-03-03 22:49:41 +0000,"Speedwav 1 Rear View Mirror Screen, 1 4.3 Inch Screen & Camera-Renault Fluence Combo",7200,3383,146
AVCEGBFBGFRWJSPS,2016-03-03 22:49:41 +0000,"Pro biker 1 Bike Gloves, 1 Neoprene Face Mask-Black, 1 Gloves Combo",2818,916,128
AVCEJ3CZHKUG7WKR,2016-05-29 13:32:26 +0000,"ManeKo 1 Mobile Holder, 1 Anti Slip Mat Combo",699,365,114
AVCEASGPSFXKFXB8,2015-12-01 12:40:44 +0000,"Retina 1 Mobile Holder, 1 Car Charger, 1 USB Cable Combo",249,199,106
AVCEJ3CZ7GPK4XSJ,2016-05-29 13:32:26 +0000,"ManeKo 1 Mobile Holder, 1 Anti Slip Mat Combo",699,365,157
AVCEGCGPHGNPDZNW,2016-03-03 22:49:41 +0000,"Speedwav 1 Car Bumper Sticker, 1 FLY Mobile Holder with Photo Frame Combo",820,563,114
BBCDPFZM6V585ZZE,2016-01-03 09:39:44 +0000,Lollipop Lane Tiddly Wink Safari Bath Set,2950,2950,168
BBOEGGV3NYMKAFMA,2016-03-03 22:49:41 +0000,Krasiv Solid Babydoll,2999,549,130
BBOEGP4HM4C5WXVC,2016-03-11 06:55:07 +0000,Fashion18 Solid Babydoll,1299,689,149
BKPEGXYYEH5XD32T,2016-05-24 20:23:06 +0000,U United Mad Angle DU 14 L Backpack,1699,620,145
BKPEDPG57FTEM3WF,2016-01-01 13:15:34 +0000,Zwart Andanor-FG 25 L Backpack,1600,695,106
BKPE687F7GK6AYU2,2016-01-01 13:15:34 +0000,United Bags Pencil Pi Backpack 35 L Backpack,1499,599,179
BKPE6BUDHA3YA5YG,2016-01-01 19:37:22 +0000,United Bags Precious Stone Rd Blck 35 L Laptop Backpack,1299,599,107
BKPE536FHSNYE85F,2016-01-01 13:15:34 +0000,SLB 020RP 10 L Backpack,1499,599,183
BKPEDRCDMRGQH8Q7,2016-01-01 19:37:22 +0000,Puma Kids Casual Graphic 18 L Backpack,1299,1299,101
BKPEYQHB6J2PN9R4,2016-01-01 19:37:22 +0000,United Bags Density 35 L Medium Laptop Backpack,1499,649,125
BKPEGZCDHQUXWAAM,2016-05-24 20:23:06 +0000,WEIDELI REDBP008 45 L Backpack,1999,999,199
BKPE65ZGHGBZQBCY,2015-12-12 11:46:53 +0000,Zwart CLINROV 32 L Medium Backpack,1800,769,126
BKPEGUJHQSJUZBVF,2016-05-24 20:23:06 +0000,The House of Tara Distress Finish Canvas 20 L Backpack,2199,1299,130
BKPEAYZJHKRQRCJZ,2016-01-03 02:35:32 +0000,Nike Fc Barcelona Shield Compact 24 L Large Backpack,2889,2889,113
BKPE9R5CWH6CNCWM,2016-01-01 13:15:34 +0000,Puma Primary 3 L Backpack,1499,524,168
BKPECGTFCH3FXZSF,2016-01-01 19:37:22 +0000,Only4you rg86 4 L Backpack,999,329,141
BKPEHTGBH5GGWENP,2016-04-19 05:00:32 +0000,addee Leather black 16 L Backpack,2999,1499,141
BKPEYN9AGHRCKEQY,2015-12-12 11:46:53 +0000,Bleu Rucksack 60 L Large Backpack,3500,1498,158
BKPEDM7H2MZG2EWH,2016-01-03 02:35:32 +0000,JanSport Big Student 34 L Backpack,4099,3279,126
BKPEBFQ5HR9KAF8F,2016-01-01 19:37:22 +0000,TeEye Goggles Bag 8 L Medium Backpack,1999,550,133
BKPEBJGUXZXPDF9F,2016-01-01 19:37:22 +0000,Harrisons Bling 18 L Backpack,865,865,140
BKPEGUJHJFYS4FCU,2016-05-24 20:23:06 +0000,The House of Tara Go-Getter 19 L Backpack,1899,1099,171
BKPEGE8YCJTWDFTC,2016-03-03 06:06:42 +0000,Puma Ferrari Replica 18.5 L Laptop Backpack,3999,3999,148
BKPEGXU9NZQRQGF2,2016-05-24 20:23:06 +0000,Legato Rugsack Bag 2.5 L Backpack,2000,989,150
BKPEGXYVWNVFFGHZ,2016-05-24 20:23:06 +0000,Harissons Split 26 L Backpack,1099,1099,154
BKPEGZCDVDZUMGHZ,2016-05-24 20:23:06 +0000,WEIDELI PURPLEBP004 45 L Backpack,1999,999,135
BKPE25GC2ZFVGGNU,2016-01-01 13:15:34 +0000,Dell Sports Laptop Backpack,2999,599,153
BKPEGAHY2PQZHGYZ,2016-03-03 06:06:42 +0000,Navigator LpBck 15 L Laptop Backpack,2200,1590,154
BKPEY9TNHRGN9HRM,2016-01-01 19:37:22 +0000,Rock Polo 5204 Laptop Backpack,,,145
BKPECS6HJVHHBKBC,2016-01-01 19:37:22 +0000,Needbags 400514 R 19 L Laptop Backpack,1299,599,151
BKPE6S4FDENUYNAS,2015-12-12 11:46:53 +0000,President Courage 40 L Medium Backpack,999,599,155
BKPE6RDGZMNKCNFG,2015-12-12 11:46:53 +0000,Zwart RYKER 30 L Medium Backpack,1700,748,165
BKPEGZCFYTJXMRGY,2016-05-24 20:23:06 +0000,Clazz CB 35 L Backpack,1599,899,172
BKPE6NP9CNQSFSFQ,2016-01-01 19:37:22 +0000,United Bags Bundi TT 35 L Laptop Backpack,1299,499,168
BKPEGE7ZWDJ5JSGG,2016-03-03 06:06:42 +0000,Good Win Takssport 20 L Laptop Backpack,835,835,184
BKPEFCTNBZPZ6SNZ,2016-01-02 07:26:51 +0000,i-Bag 1163 Backpack,1120,800,199
BKPEDPG5QM8RGT9Y,2016-01-01 19:37:22 +0000,Zwart Hexapac-FG 25 L Backpack,1400,575,114
BKPEGZCCZ7FCKTSZ,2016-05-24 20:23:06 +0000,WEIDELI REDBP002 45 L Backpack,1999,999,176
BKPEGXYVX4CG7UWX,2016-05-24 20:23:06 +0000,Harissons Ultimo 32 L Backpack,1299,1299,193
BKPE63NZD2SKTWZP,2015-12-12 11:46:53 +0000,President Shell 40 L Medium Backpack,899,499,177
BKPEHDNGPAUZZXHZ,2016-04-19 05:00:32 +0000,BURDY 4102 16 L Backpack,899,499,163
BKPE8M5FMCGSTYJZ,2016-01-07 07:30:00 +0000,Puma 73193 31 L Medium Backpack,2999,2999,169
BKPECSXKNFNASYRN,2016-01-01 21:23:25 +0000,Rr Rainbow Grand Dlx 30 L Backpack,1040,728,171
BKPE3Z2HBCVZZZGR,2016-01-01 19:37:22 +0000,Lavie Chic 4 Backpack Backpack,1340,1072,165
BKPEGXYWWJPETZZA,2016-05-24 20:23:06 +0000,Harissons Ergo 26 L Backpack,1849,1849,142
BDEEGH3ZVFVHFBHC,2016-06-14 18:49:44 +0000,Alicia Souza Animals Badge,150,150,168
BDEEHQXBEBPVDFXX,2016-04-16 13:01:18 +0000,Accore Signs & Symbols Badge,299,99,169
BDEEHQXBKNGTAKRU,2016-04-16 13:01:18 +0000,Accore Signs & Symbols Badge,299,99,104
BAGEHQ64CJMVM5WY,2016-06-17 14:13:36 +0000,Vency creation Waterproof Multipurpose Bag,1599,1500,147
BAGEEDYFGZHGQAVS,2016-01-01 19:37:22 +0000,Angel Glitter School Bag,600,300,103
BAGEEDYFFMKZAF3H,2016-01-01 19:37:22 +0000,Angel Glitter School Bag,600,300,192
BAGDY6DXXV7FZHQY,2015-12-12 11:46:53 +0000,President School Waterproof Backpack,849,699,156
BAGDY6DXVHYBVQPN,2015-12-12 11:46:53 +0000,President School Waterproof Backpack,1200,799,159
BAGEH2A4GHTVQYX5,2016-05-26 23:54:46 +0000,Oriflame Waterproof Multipurpose Bag,2499,1599,122
BALDGQB9GG7DC57H,2015-12-29 05:07:38 +0000,Vinex Pacer Basketball -   Size: 5,549,389,132
BALDHX8K5AFFMCGY,2015-12-29 05:07:38 +0000,adidas 3 Stripe D 29.5 Basketball -   Size: 7,1299,1299,119
BALDMEYGWWRZ4DAC,2015-12-29 05:07:38 +0000,Spalding Cross Over Basketball -   Size: 5,955,955,120
BALDCJFFGZHQNDT6,2016-01-01 19:37:22 +0000,Wilson Championship Extra Duty Tennis Ball,395,290,153
BALEYMGAPMFCMDYB,2015-12-29 05:07:38 +0000,"Kipsta B700 S7 Basketball -   Size: 7,  Diameter: 29.5 cm",899,899,128
BALDD3CZ38D4XFKH,2015-12-29 05:07:38 +0000,"Spalding Chicago Bulls Basketball -   Size: 7,  Diameter: 74 cm",1099,1099,133
BALEYMGAFVHEXBWW,2015-12-29 05:07:38 +0000,"Kipsta B500 Basketball -   Size: 6,  Diameter: 25 cm",2999,2662,137
BALDMEYGGYHCZFQK,2015-12-29 05:07:38 +0000,Spalding Cross Over Basketball -   Size: 7,1085,809,140
BALEDD5MCGM2RGDN,2015-12-29 05:07:38 +0000,"AVM No. 5 Basketball -   Size: 5,  Diameter: 2.5 cm",299,299,120
BALE8ZABFPZGSGFX,2016-02-25 08:16:06 +0000,"SM Sway Cricket Ball -   Size: 5,  Diameter: 2.5 cm",435,406,169
BALE5TXXG7AQ2GZH,2016-01-01 19:37:22 +0000,"Dunlop Fort Tennis Ball -   Size: 0,  Diameter: 2.5 cm",980,720,197
BALEDVR8HYUAFHEP,2016-02-25 08:16:06 +0000,"APG Diamond Cricket Ball -   Size: 5,  Diameter: 2.5 cm",950,500,178
BALEJA4CVTGREHEU,2016-06-09 02:02:09 +0000,"JJ Jonex GRIPPER Volleyball -   Size: 4,  Diameter: 20 cm",800,549,102
BALEYMGAFZF2RHGK,2015-12-29 05:07:38 +0000,"Kipsta Rise Up S3 Basketball -   Size: 3,  Diameter: 17.5 cm",999,768,106
BALDK98MRHJZPHGZ,2015-12-29 05:07:38 +0000,Spalding NBA Cyclone Basketball -   Size: 5,799,799,130
BALED8XDHWWPVHHD,2015-12-29 05:07:38 +0000,"Li-Ning ABQJ064-2S Basketball -   Size: 7,  Diameter: 24.25 cm",990,990,134
BALEBHHMFSHXSJ8U,2016-02-25 08:16:06 +0000,"Yonex Tour Tennis Ball -   Size: 5,  Diameter: 6.54 cm",475,400,174
BALECMGYGJAYBJH7,2015-12-29 05:07:38 +0000,"Atharva Rebound Basketball -   Size: 7,  Diameter: 2.5 cm",825,549,173
BALDD3H7BUZDSQ77,2015-12-29 05:07:38 +0000,Spalding TF-150 Basketball -   Size: 7,699,559,106
BALE3RD4AR3DJKCN,2015-12-29 05:07:38 +0000,"Kipsta B500 S7 1543058 Basketball -   Size: 7,  Diameter: 73.66 cm",1195,1195,129
BALE8HWAS26ZHNTC,2016-01-01 19:37:22 +0000,Vicky Supreme (L) Tennis Ball -   Diameter: 6.5 cm,240,240,113
BALDCJFFBJKZZNU8,2016-02-25 08:16:06 +0000,Cosco Practice Tennis Ball,215,215,105
BALEYMGAEZYXDPCH,2015-12-29 05:07:38 +0000,"Kipsta B500 S6 Basketball -   Size: 6,  Diameter: 25 cm",3299,3299,120
BALE3RD4NGZ25PZZ,2015-12-29 05:07:38 +0000,"Kipsta B500 1127213 Basketball -   Size: 5,  Diameter: 73.66 cm",899,809,177
BALEEZ2A4SWPXJU4,2016-06-24 16:03:26 +0000,Xerobic 75 cm Gym Ball,1349,719,116
BALEEZ2BZZ3ZT99G,2016-06-24 16:03:26 +0000,Xerobic 85 cm Gym Ball,1499,809,118
BALDXVA6HJASHTDW,2015-12-29 05:07:38 +0000,Nivia Destroyer Basketball -   Size: 7,520,520,134
BALDFF7HX853MTHJ,2015-12-29 05:07:38 +0000,Kipsta Tarmak T7 Basketball -   Size: 7,299,299,191
BALDYRGRTGAQHVGF,2016-02-25 08:16:06 +0000,"Stanford League Special Cricket Ball -   Size: 5.1\2,  Diameter: 1.5 cm",780,780,137
BALEJA4CYQQTMYFZ,2016-06-09 01:54:25 +0000,"JJ Jonex HIGH QUALITY SMASH Volleyball -   Size: 4,  Diameter: 20 cm",510,469,136
BALDFF7HKWGGRYHE,2015-12-29 05:07:38 +0000,Kipsta Easy Basketball -   Size: 5,599,599,181
BALDCJFFVZ96FYNX,2016-02-25 08:16:06 +0000,SS League Special Cricket Ball,599,550,185
BALDFCFWC4HGQYZH,2015-12-29 05:07:38 +0000,Kipsta Riseup Basketball -   Size: 5,499,383,130
BALEYMGAD5F63Z6P,2015-12-29 05:07:38 +0000,"Kipsta B500 S7 Basketball -   Size: 7,  Diameter: 29.5 cm",699,623,196
BALDK98MYRRTHZHJ,2015-12-29 05:07:38 +0000,Spalding NBA Team Toranto Raptors Basketball -   Size: 7,1099,999,176
BDAEGVFSHNTGUZFQ,2016-06-28 00:52:37 +0000,Royal Enfield Men's Graphic Print Bandana,999,999,157
BBAE73VFNENV92GG,2015-12-30 00:17:46 +0000,Nirosha Alloy Bangle Set,799,149,175
BBAEE9AQSZAYS2NW,2015-12-30 00:17:46 +0000,Kuhuk Plastic Bangle Set,2000,495,194
BBADSEZDJ6GUW2PX,2015-12-20 08:26:17 +0000,925 Silver Silver Bracelet,1872,1458,199
BBAE5TRYJPMH335G,2015-12-20 08:26:17 +0000,Adimani Alloy Bangle Set,1900,599,120
BBADSEZDTVABF35T,2015-12-20 08:26:17 +0000,925 Silver Alloy Silver Bracelet,1599,1498,174
BBAECX4DYFGUD3BA,2015-12-30 00:17:46 +0000,Vismay Creation Metal Bangle,705,245,150
BBAEEYGPRKWRC9HP,2015-12-30 00:17:46 +0000,Viva Fashions Alloy Cubic Zirconia Rhodium Bangle Set,810,810,184
BBAEAEZDYZUX63UR,2015-12-20 08:26:17 +0000,Jewel Touch Alloy Bracelet,550,280,192
BBAEFQ66SFMTC3ZN,2015-12-30 00:17:46 +0000,Shining Diva Alloy Bangle Set,2495,499,157
BBAEASSYZ53MG3ZZ,2015-12-20 08:26:17 +0000,Pearlz Ocean Alloy Bracelet,1500,399,177
BBAEBMNFGRF6U49M,2015-12-20 08:26:17 +0000,Alpha Man Leather Bracelet Set,900,399,149
BBAECVGX7ZKEM3UC,2015-12-30 00:17:46 +0000,Solah Shringar Lac Bangle Set,999,999,117
BBAECH62WNHFZ4GU,2015-12-20 08:26:17 +0000,Inox Jewelry Stainless Steel Bracelet,1929,1447,165
BBAE3QDNUGVN8QYG,2015-12-31 09:19:31 +0000,Voylla Alloy Zircon Yellow Gold Bangle Set,1339,525,126
BBAEBZ79HRWFH4QG,2015-12-30 00:17:46 +0000,Multiline Company Alloy Bangle Set,1300,390,108
BBAECA5T85T3F4YG,2015-12-20 08:26:17 +0000,Waama Jewels Metal Cubic Zirconia Yellow Gold Bracelet,1949,1149,179
BBAEBZKUYSPW4XBE,2015-12-30 00:17:46 +0000,"Vaishali Bindi and Bangles Brass, Copper Bangle Set",649,249,191
BBADXFQG5SQPQ52G,2015-12-20 08:26:17 +0000,Pearlz Ocean Alloy Bracelet,1000,299,117
BBAE6JCG4YCBTGDG,2015-12-30 00:17:46 +0000,Adhira Alloy Yellow Gold Bangle Set,1799,299,108
BBAECGVHADQTGZEY,2015-12-20 08:26:17 +0000,Jewelizer Alloy Bracelet,599,249,157
BBAEJMG2UHZWSGGT,2016-06-14 18:49:44 +0000,Rejewel Alloy 18K Yellow Gold Bangle,600,300,164
BBAEA4DNRGDBSYBA,2015-12-20 08:26:17 +0000,My Design Acrylic Chudas,3000,2148,158
BBAEBVCUYV9WDBNM,2015-12-30 00:17:46 +0000,Awari Metal Bangle Set,799,228,196
BBADZUEQ65WVS6FG,2015-12-20 08:26:17 +0000,Harp Metal Cuff,900,450,171
BBAE6FZQZQWHU6SH,2015-12-20 08:26:17 +0000,Fayon Alloy Hand Thong,1080,249,119
BBADSEZDMXD7G6TZ,2015-12-20 08:26:17 +0000,925 Silver Silver Bracelet,2334,1827,116
BBAE4ZYKWR7GQ6WX,2015-12-12 11:46:53 +0000,Kuhuk Fashion Jewelry Metal Bangle Set,600,340,198
BBAE7F9BTGBDGXZQ,2015-12-30 00:17:46 +0000,Sukkhi Copper Rhodium Bangle Set,1397,369,120
BBAE2FG8G6M8QQFY,2015-12-30 00:17:46 +0000,Vaishali Bindi and Bangles Alloy Bangle Set,1100,330,150
BBAE9TFD2SFE278G,2015-12-20 08:26:17 +0000,Kuhuk Plastic Bangle Set,2000,400,102
BBAEEFKPGQYWSXNB,2015-12-30 00:17:46 +0000,Bhavika Brass Bangle Set,1000,199,120
BBAE8HKQVYY2ZVWK,2015-12-30 00:17:46 +0000,Cocktail Copper Cubic Zirconia Copper Bangle,2399,399,173
BBAEAM8SKKYJV7T2,2015-12-20 08:26:17 +0000,DressBerry Crystal Enamel Bracelet Set,799,359,172
BBADSEZDY866N8E3,2015-12-20 08:26:17 +0000,925 Silver Alloy Silver Bracelet,1599,1498,185
BBAEAYAE4BDSX938,2015-12-20 08:26:17 +0000,Opc Bronze Kada,599,379,191
BBAE7F9BTKFHMUEY,2015-12-30 00:17:46 +0000,Sukkhi Copper Yellow Gold Bangle Set,1863,479,199
BBAE82VSFN92EYGZ,2015-12-20 08:26:17 +0000,The Fine World Metal Zircon Brass Bangle Set,365,329,190
BBADSEZDVD7EJ9Z5,2015-12-20 08:26:17 +0000,925 Silver Silver Bracelet,1818,1415,192
BBAE4BR6EHHHGPYM,2016-01-07 00:54:41 +0000,Sparkle Street Alloy Bangle Set,2200,1056,198
BBAE869BSSPZ2VGZ,2015-12-20 08:26:17 +0000,Leshya Brass Brass Bangle Set,1450,599,107
BBAEB73MGG3C43ZV,2015-12-29 05:07:38 +0000,"BlueStone Yellow Gold Diamond, Amethyst 18 Bracelet",22947,18519,156
BBAEB73MPXNZE4EW,2015-12-29 05:07:38 +0000,"BlueStone Yellow Gold Diamond, Amethyst 18 Bracelet",23129,18488,179
BBAEB73MYGVQC7KG,2015-12-29 05:07:38 +0000,"BlueStone Yellow Gold Diamond, Amethyst 18 Bracelet",22995,18775,115
BBAE4FG9AGXSPNS9,2015-12-12 11:46:53 +0000,R18Jewels-Fashion&U Fabulous Princess Metal Bangle,750,357,101
BBAE3ZZVURG8ZQGU,2015-12-30 00:17:46 +0000,Mrigya Alloy Bangle Set,1378,399,184
BBAE9WX4FWQGPHHT,2015-12-30 00:17:46 +0000,Vedika Jewellery Alloy Bangle Set,1299,399,102
BBAE9WX5YTJKWWUT,2015-12-30 00:17:46 +0000,Vedika Jewellery Alloy Bangle Set,1299,375,111
BBAEEDQYMPEKRAH4,2015-12-31 09:19:31 +0000,The Jewelbox Brass Cubic Zirconia Yellow Gold Bangle,1690,676,200
BBAE9WX5WKFR3AH9,2015-12-30 00:17:46 +0000,Vedika Jewellery Alloy Bangle Set,1299,375,105
BBAEEFYG3Z2FMAHF,2015-12-31 09:19:31 +0000,Urthn Alloy Bangle Set,2475,745,115
BBAECZMBTFADPAHM,2015-12-30 00:17:46 +0000,"Camy Alloy, Metal 18K Yellow Gold Bangle Set",1499,399,198
BBAE8FRGGWMFXAKN,2015-12-20 08:26:17 +0000,Kuhuk Plastic Bangle Set,500,174,160
BBAEAZHMRZ4H5AVH,2015-12-20 08:26:17 +0000,Pink Rose Alloy Bracelet,3298,1499,106
BBAEGJFQSXZSNB67,2016-05-10 11:57:25 +0000,Pout Brass Bangle,350,175,171
BBAEE4CBQ2XXHBBK,2015-12-31 09:19:31 +0000,Kuhuk Plastic Bangle Set,2000,660,197
BBAEAZQAXBZNGBCH,2015-12-20 08:26:17 +0000,Svvelte Alloy Bangle,1999,1999,167
BBAE6GFQXREGGBCU,2015-12-30 00:17:46 +0000,Shining Diva Alloy Bracelet Set,2495,499,195
BBAE3JG3HZMARBFP,2015-12-20 08:26:17 +0000,SJPearls Alloy Pearl Bracelet Set,2450,1300,173
BBAEE933J2HCZBGJ,2015-12-31 09:19:31 +0000,Zaveri Pearls Zinc 18K Yellow Gold Bangle,2890,890,122
